MOTOR,CONTROLLER,SET_POINT,OMEGA_MAX,K,TAU,FORWARD_KP,BACK_KP,FORWARD_ANG_COEF,FORWARD_LIN_COEF,BACK_ANG_COEF,BACK_LIN_COEF,TIME,OMEGA_RAW,OMEGA_FILTERED,OMEGA_PREDICTED,K_GAIN,PREDIC_ERR,MEASURE_ERR
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,5e-06,0,0,709.835,6.26645e-05,0.0751974,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.001527,0,0,709.835,6.26645e-05,0.0751974,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.003527,0,0,709.835,6.26645e-05,0.0751974,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.005528,0,0,709.835,6.26645e-05,0.0751974,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.007527,269.064,653.89,653.914,6.26606e-05,0.0751927,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.009527,269.064,653.89,653.914,6.26606e-05,0.0751927,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.011527,269.064,653.89,653.914,6.26606e-05,0.0751927,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.013527,269.064,653.89,653.914,6.26606e-05,0.0751927,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.015528,269.064,653.89,653.914,6.26606e-05,0.0751927,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.017527,269.064,653.89,653.914,6.26606e-05,0.0751927,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.019527,269.064,653.89,653.914,6.26606e-05,0.0751927,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.021527,269.064,653.89,653.914,6.26606e-05,0.0751927,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.023527,269.064,653.89,653.914,6.26606e-05,0.0751927,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.025528,269.064,653.89,653.914,6.26606e-05,0.0751927,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.027527,269.064,653.89,653.914,6.26606e-05,0.0751927,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.029527,269.064,653.89,653.914,6.26606e-05,0.0751927,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.031527,93.8559,661.413,661.449,6.26566e-05,0.075188,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.033527,93.8559,661.413,661.449,6.26566e-05,0.075188,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.035528,93.8559,661.413,661.449,6.26566e-05,0.075188,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.037527,123.026,669.411,669.445,6.26527e-05,0.0751833,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.039527,123.026,669.411,669.445,6.26527e-05,0.0751833,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.041527,159.306,674.299,674.331,6.26488e-05,0.0751785,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.043527,159.306,674.299,674.331,6.26488e-05,0.0751785,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.045528,159.306,674.299,674.331,6.26488e-05,0.0751785,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.047527,162.849,677.984,678.016,6.26449e-05,0.0751738,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.049527,162.849,677.984,678.016,6.26449e-05,0.0751738,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.051527,162.849,677.984,678.016,6.26449e-05,0.0751738,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.053527,162.849,677.984,678.016,6.26449e-05,0.0751738,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.055528,162.849,677.984,678.016,6.26449e-05,0.0751738,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.057527,182.137,680.859,680.89,6.26409e-05,0.0751691,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.059527,182.137,680.859,680.89,6.26409e-05,0.0751691,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.061527,182.137,680.859,680.89,6.26409e-05,0.0751691,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.063527,182.137,680.859,680.89,6.26409e-05,0.0751691,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.065528,182.137,680.859,680.89,6.26409e-05,0.0751691,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.067527,202.357,685.179,685.209,6.26331e-05,0.0751597,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.069527,202.357,685.179,685.209,6.26331e-05,0.0751597,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.071527,202.357,685.179,685.209,6.26331e-05,0.0751597,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.073527,202.357,685.179,685.209,6.26331e-05,0.0751597,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.075528,202.357,685.179,685.209,6.26331e-05,0.0751597,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.077527,221.793,687.957,687.986,6.26253e-05,0.0751503,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.079527,221.793,687.957,687.986,6.26253e-05,0.0751503,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.081527,221.793,687.957,687.986,6.26253e-05,0.0751503,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.083536,221.793,687.957,687.986,6.26253e-05,0.0751503,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.085528,221.793,687.957,687.986,6.26253e-05,0.0751503,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.087527,222.264,689.82,689.849,6.26174e-05,0.0751409,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.089527,222.264,689.82,689.849,6.26174e-05,0.0751409,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.091527,232.452,691.106,691.135,6.26096e-05,0.0751315,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.093527,232.452,691.106,691.135,6.26096e-05,0.0751315,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.095528,232.452,691.106,691.135,6.26096e-05,0.0751315,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.097527,240.763,691.539,691.567,6.26056e-05,0.0751268,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.099527,240.763,691.539,691.567,6.26056e-05,0.0751268,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.101527,245.389,691.848,691.876,6.26017e-05,0.0751221,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.103527,245.389,691.848,691.876,6.26017e-05,0.0751221,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.105528,245.389,691.848,691.876,6.26017e-05,0.0751221,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.107527,237.729,692.094,692.123,6.25978e-05,0.0751174,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.109527,237.729,692.094,692.123,6.25978e-05,0.0751174,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.111527,241.04,692.393,692.422,6.25939e-05,0.0751127,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.113527,241.04,692.393,692.422,6.25939e-05,0.0751127,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.115528,241.04,692.393,692.422,6.25939e-05,0.0751127,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.117527,248.8,692.876,692.904,6.25861e-05,0.0751033,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.119527,248.8,692.876,692.904,6.25861e-05,0.0751033,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.121527,256.698,692.993,693.02,6.25821e-05,0.0750986,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.123552,256.698,692.993,693.02,6.25821e-05,0.0750986,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.125528,256.698,692.993,693.02,6.25821e-05,0.0750986,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.127527,259.754,693.027,693.054,6.25782e-05,0.0750939,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.129527,259.754,693.027,693.054,6.25782e-05,0.0750939,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.131527,251.036,693.03,693.058,6.25743e-05,0.0750892,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.133527,251.036,693.03,693.058,6.25743e-05,0.0750892,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.135528,251.036,693.03,693.058,6.25743e-05,0.0750892,1200
1,1,0.25,1810.72,2082.32,0.1018,5.83258e-05,3.92085e-05,0.00042641,0.128724,0.000412644,-0.124631,0.137527,252.702,693.116,693.143,6.25704e-05,0.0750845,1200
