MOTOR,CONTROLLER,SET_POINT,OMEGA_MAX,K,TAU,FORWARD_KP,BACK_KP,FORWARD_ANG_COEF,FORWARD_LIN_COEF,BACK_ANG_COEF,BACK_LIN_COEF,TIME,OMEGA_RAW,OMEGA_FILTERED,OMEGA_PREDICTED,K_GAIN,PREDIC_ERR,MEASURE_ERR
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,5e-06,0,0,553.229,5.66219e-05,0.0679463,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.004641,0,0,553.229,5.66219e-05,0.0679463,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.009641,0,0,553.229,5.66219e-05,0.0679463,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.014641,0,-84.9427,-84.9475,5.66187e-05,0.0679425,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.019652,0,-84.9427,-84.9475,5.66187e-05,0.0679425,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.024638,-301.222,-251.55,-251.547,5.66123e-05,0.0679348,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.029638,-313.72,-400.358,-400.363,5.66091e-05,0.0679309,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.034638,-514.088,-678.702,-678.711,5.65995e-05,0.0679194,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.039638,-597.715,-810.719,-810.731,5.65931e-05,0.0679117,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.044638,-707.327,-1018.3,-1018.32,5.65803e-05,0.0678963,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.049638,-741.904,-1133.23,-1133.25,5.65707e-05,0.0678848,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.054638,-866.168,-1254.54,-1254.56,5.65579e-05,0.0678695,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.059638,-946.405,-1374.21,-1374.24,5.65419e-05,0.0678503,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.064638,-970.076,-1447.54,-1447.56,5.65291e-05,0.0678349,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.069638,-1043.03,-1535.23,-1535.25,5.65099e-05,0.0678119,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.074638,-1081.26,-1594.52,-1594.55,5.6494e-05,0.0677928,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.079638,-1182.61,-1642.4,-1642.43,5.6478e-05,0.0677736,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.084638,-1227.66,-1689.52,-1689.55,5.64589e-05,0.0677507,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.089638,-1263.21,-1724.57,-1724.6,5.64398e-05,0.0677277,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.094638,-1293.64,-1752.59,-1752.62,5.64207e-05,0.0677048,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.099638,-1317.23,-1775.21,-1775.23,5.64016e-05,0.0676819,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.104638,-1339.13,-1793.53,-1793.55,5.63825e-05,0.067659,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.109638,-1361.77,-1808.52,-1808.55,5.63634e-05,0.0676361,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.114638,-1323.89,-1824.48,-1824.51,5.6338e-05,0.0676056,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.119638,-1331.47,-1834.22,-1834.25,5.6319e-05,0.0675828,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.124638,-1398.13,-1847.84,-1847.87,5.62936e-05,0.0675524,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.129638,-1412.27,-1855.88,-1855.91,5.62746e-05,0.0675295,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.134666,-1422.82,-1860,-1860.02,5.62556e-05,0.0675068,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.139638,-1456.46,-1863.93,-1863.95,5.62303e-05,0.0674764,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.144638,-1463.59,-1865.77,-1865.79,5.62114e-05,0.0674536,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.149638,-1400.93,-1865.91,-1865.93,5.61892e-05,0.0674271,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.154638,-1408.47,-1866.25,-1866.28,5.61672e-05,0.0674006,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.159638,-1459.51,-1869.74,-1869.76,5.61451e-05,0.0673741,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.164638,-1473.89,-1872,-1872.03,5.6123e-05,0.0673476,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.169638,-1506.76,-1871.28,-1871.3,5.6101e-05,0.0673212,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.174638,-1506.76,-1869.6,-1869.62,5.6079e-05,0.0672948,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.179638,-1437.47,-1866.38,-1866.41,5.6057e-05,0.0672683,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.184638,-1441.43,-1864.14,-1864.16,5.6035e-05,0.067242,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.189638,-1489.61,-1865.65,-1865.67,5.6013e-05,0.0672156,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.194643,-1500.28,-1866.35,-1866.37,5.5991e-05,0.0671892,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.199638,-1529.87,-1864.2,-1864.22,5.5966e-05,0.0671592,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.204638,-1515.48,-1862.01,-1862.03,5.59472e-05,0.0671366,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.209638,-1450.41,-1857.81,-1857.84,5.59222e-05,0.0671066,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.214638,-1452.42,-1855.65,-1855.67,5.59034e-05,0.0670841,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.219638,-1538.86,-1857.42,-1857.44,5.58784e-05,0.0670541,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.224638,-1533.23,-1858.69,-1858.71,5.58566e-05,0.0670279,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.229638,-1535.48,-1854.8,-1854.81,5.58347e-05,0.0670017,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.234638,-1465.64,-1851.07,-1851.09,5.58098e-05,0.0669718,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.239638,-1465.64,-1849.1,-1849.12,5.57911e-05,0.0669493,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.244638,-1527.64,-1850.59,-1850.61,5.57662e-05,0.0669195,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.249638,-1551.4,-1851.75,-1851.77,5.57445e-05,0.0668934,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.254638,-1551.4,-1848.96,-1848.98,5.57227e-05,0.0668673,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.259638,-1474.93,-1844.72,-1844.74,5.56979e-05,0.0668375,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.264638,-1474.93,-1841.87,-1841.89,5.56793e-05,0.0668151,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.269662,-1530.99,-1843.53,-1843.55,5.56545e-05,0.0667854,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.274638,-1557.17,-1844.53,-1844.55,5.56297e-05,0.0667557,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.279638,-1556.01,-1842.52,-1842.54,5.56112e-05,0.0667334,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.284638,-1488.55,-1838.64,-1838.66,5.55864e-05,0.0667037,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.289638,-1524.31,-1835.68,-1835.69,5.55648e-05,0.0666778,1200
0,1,-1,1662.22,2337.64,0.0943098,0.000184702,0.000248258,0.000388421,0.127525,0.000367092,-0.108307,0.294638,-1534.36,-1836.64,-1836.66,5.55432e-05,0.0666519,1200
