MOTOR,CONTROLLER,SET_POINT,OMEGA_MAX,K,TAU,FORWARD_KP,BACK_KP,FORWARD_ANG_COEF,FORWARD_LIN_COEF,BACK_ANG_COEF,BACK_LIN_COEF,TIME,OMEGA_RAW,OMEGA_FILTERED,OMEGA_PREDICTED,K_GAIN,PREDIC_ERR,MEASURE_ERR
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,7e-06,0,0,0,0,0,0
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.00461,0,0,0,0,0,0
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.00961,0,0,0,0,0,0
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.01461,0,0,0,0,0,0
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.01961,193.174,160.979,0,0.833333,383.333,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.02465,374.467,327.389,282.273,0.489362,245.745,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.02961,483.582,497.192,504.072,0.335795,184.318,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.03461,593.313,644.508,666.561,0.301075,170.43,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.03961,694.889,743.762,764.417,0.297082,168.833,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.04461,807.4,843.6,858.862,0.296568,168.627,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.04961,870.127,914.947,933.841,0.296537,168.615,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.05461,948.119,984.919,1000.43,0.296535,168.614,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.05961,1024.66,1046.5,1055.7,0.296535,168.614,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.064622,1098.84,1118.88,1127.33,0.296535,168.614,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.06961,1151.4,1165.97,1172.12,0.296535,168.614,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.074649,1158.4,1199.19,1216.39,0.296535,168.614,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.07961,1219.8,1248.56,1260.69,0.296535,168.614,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.08461,1259.41,1286.9,1298.49,0.296535,168.614,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.08961,1284.9,1317.03,1330.58,0.296535,168.614,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.09461,1345.15,1355.24,1359.49,0.296535,168.614,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.09961,1379.71,1388.15,1391.7,0.296535,168.614,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.10461,1401.87,1407.08,1409.28,0.296535,168.614,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.10961,1414.18,1422.08,1425.41,0.296535,168.614,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.11461,1413.22,1435.14,1444.38,0.296535,168.614,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.11961,1421.86,1446.51,1456.9,0.296535,168.614,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.124612,1434.52,1458.31,1468.33,0.296535,168.614,400
0,0,1,1643.38,2643.03,0.11163,0.000286379,0.000307493,0.000396429,0.112951,0.000361855,-0.116815,0.129613,1483.28,1486.91,1488.44,0.296535,168.614,400
