MOTOR,CONTROLLER,SET_POINT,OMEGA_MAX,K,TAU,FORWARD_KP,BACK_KP,FORWARD_ANG_COEF,FORWARD_LIN_COEF,BACK_ANG_COEF,BACK_LIN_COEF,TIME,OMEGA_RAW,OMEGA_FILTERED,OMEGA_PREDICTED,K_GAIN,PREDIC_ERR,MEASURE_ERR
1,0,-1,1662.22,2010.58,0.0974237,0.000306227,0.000250138,0.000421193,0.161095,0.000418872,-0.149935,5e-06,0,0,498.645,0.000128684,0.15442,1200
1,0,-1,1662.22,2010.58,0.0974237,0.000306227,0.000250138,0.000421193,0.161095,0.000418872,-0.149935,0.004039,0,0,498.645,0.000128684,0.15442,1200
1,0,-1,1662.22,2010.58,0.0974237,0.000306227,0.000250138,0.000421193,0.161095,0.000418872,-0.149935,0.009039,0,0,498.645,0.000128684,0.15442,1200
1,0,-1,1662.22,2010.58,0.0974237,0.000306227,0.000250138,0.000421193,0.161095,0.000418872,-0.149935,0.014039,0,0,0,0.000128667,0.1544,1200
1,0,-1,1662.22,2010.58,0.0974237,0.000306227,0.000250138,0.000421193,0.161095,0.000418872,-0.149935,0.019039,-0.193078,-2029.15,-2029.42,0.00012865,0.154381,1200
1,0,-1,1662.22,2010.58,0.0974237,0.000306227,0.000250138,0.000421193,0.161095,0.000418872,-0.149935,0.024039,-230.128,-2028.95,-2029.18,0.000128634,0.154361,1200
1,0,-1,1662.22,2010.58,0.0974237,0.000306227,0.000250138,0.000421193,0.161095,0.000418872,-0.149935,0.029045,-265.854,-2028.76,-2028.98,0.000128617,0.154341,1200
1,0,-1,1662.22,2010.58,0.0974237,0.000306227,0.000250138,0.000421193,0.161095,0.000418872,-0.149935,0.034039,-345.667,-2028.41,-2028.63,0.000128584,0.154301,1200
1,0,-1,1662.22,2010.58,0.0974237,0.000306227,0.000250138,0.000421193,0.161095,0.000418872,-0.149935,0.039039,-388.21,-2028.26,-2028.47,0.000128568,0.154281,1200
1,0,-1,1662.22,2010.58,0.0974237,0.000306227,0.000250138,0.000421193,0.161095,0.000418872,-0.149935,0.044038,-471.604,-2027.83,-2028.03,0.000128518,0.154222,1200
1,0,-1,1662.22,2010.58,0.0974237,0.000306227,0.000250138,0.000421193,0.161095,0.000418872,-0.149935,0.049039,-471.604,-2027.83,-2028.03,0.000128518,0.154182,1200
1,0,-1,1662.22,2010.58,0.0974237,0.000306227,0.000250138,0.000421193,0.161095,0.000418872,-0.149935,0.05408,-585.354,-2027.23,-2027.42,0.000128436,0.154123,1200
1,0,-1,1662.22,2010.58,0.0974237,0.000306227,0.000250138,0.000421193,0.161095,0.000418872,-0.149935,0.059039,-585.354,-2027.23,-2027.42,0.000128436,0.154123,1200
1,0,-1,1662.22,2010.58,0.0974237,0.000306227,0.000250138,0.000421193,0.161095,0.000418872,-0.149935,0.064039,-611.502,-2027.02,-2027.21,0.000128403,0.154083,1200
1,0,-1,1662.22,2010.58,0.0974237,0.000306227,0.000250138,0.000421193,0.161095,0.000418872,-0.149935,0.069039,-671.28,-2026.65,-2026.82,0.000128337,0.154004,1200
1,0,-1,1662.22,2010.58,0.0974237,0.000306227,0.000250138,0.000421193,0.161095,0.000418872,-0.149935,0.074039,-668.495,-2026.39,-2026.57,0.000128287,0.153945,1200
1,0,-1,1662.22,2010.58,0.0974237,0.000306227,0.000250138,0.000421193,0.161095,0.000418872,-0.149935,0.079039,-739.024,-2026.17,-2026.33,0.000128238,0.153886,1200
1,0,-1,1662.22,2010.58,0.0974237,0.000306227,0.000250138,0.000421193,0.161095,0.000418872,-0.149935,0.084039,-738.764,-2025.89,-2026.06,0.000128172,0.153807,1200
